07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
AAPL;Apple Inc.;250,42;213,25;202,92;203,35;207,57;209,95;196,25;227,63;209,82;111,11
MSFT;Microsoft Corporation;421,50;524,94;527,75;535,64;533,50;497,72;433,35;409,75;398,43;212,48
NVDA;NVIDIA Corporation;134,29;179,42;178,26;180,00;177,87;158,24;117,06;129,84;98,91;11,20
AMZN;Amazon.com, Inc.;219,39;222,31;213,75;211,65;234,11;223,47;188,71;229,15;162,77;158,37
GOOG;Alphabet Inc.;190,44;196,92;195,32;195,75;192,86;177,56;152,80;187,14;160,75;74,72
META;Meta Platforms, Inc.;585,51;771,99;763,46;776,37;773,44;718,35;596,81;714,52;488,92;268,44
BRK-A;Berkshire Hathaway Inc.;680920,00;703115,00;694750,00;692600,00;719850,00;716415,00;778173,00;708903,00;641000,00;314334,00
TSLA;Tesla, Inc.;403,84;319,91;308,72;309,26;308,27;293,94;276,22;361,62;191,76;96,85
TSM;Taiwan Semiconductor Manufacturing Company Limited;197,49;231,37;232,47;239,00;241,62;229,17;174,54;206,12;155,04;80,03
JPM;JPMorgan Chase & Co.;239,71;291,35;291,37;294,26;296,24;291,97;249,39;275,80;200,40;99,38
AVGO;Broadcom Inc.;231,84;301,67;292,93;297,72;293,70;274,18;204,81;224,87;136,27;32,59
LLY;Eli Lilly and Company;772,00;746,37;765,95;769,00;740,07;772,87;776,72;878,31;772,14;152,93
WMT;Walmart Inc.;90,35;103,36;99,31;99,59;97,98;99,35;98,83;101,15;66,91;43,32
V;Visa Inc.;316,04;339,74;337,43;342,15;345,47;356,64;349,85;348,02;256,52;196,36
TCTZF;Tencent Holdings Limited;53,23;73,00;71,45;70,42;68,99;64,00;62,45;54,32;44,55;67,35
MA;Mastercard Incorporated;526,57;569,13;566,04;569,81;566,47;565,12;566,33;562,75;449,84;328,02
XOM;Exxon Mobil Corporation;107,57;106,51;107,24;107,37;111,64;111,11;104,61;108,89;115,68;43,44
