"ID","Severity","ApplicationName","MethodName","Message","RunID","Timestamp"
"56066","info","YahooScraper","LoadConfiguration","JSON values from C:\Download\\GlobalConfig.json loaded","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:03"
"56067","info","YahooScraper","Main","Application initialized","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:03"
"56068","info","YahooScraper","GlobalExportTableAndUploadAsync","Exporting and uploading [main].[dbo].[YahooScraperLog]","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:03"
"56069","info","YahooScraper","GlobalExportTableToCSV","Exporting [main].[dbo].[YahooScraperLog] to C:\Download\main.dbo.YahooScraperLog.csv","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:03"
"56070","info","YahooScraper","GlobalUploadFileToGitHubAsync","Uploading file C:\Download\main.dbo.YahooScraperLog.csv to CSV","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:03"
"56071","result","YahooScraper","GlobalUploadFileToGitHubAsync","File C:\Download\main.dbo.YahooScraperLog.csv uploaded","99045d84-96c5-45bb-8a33-4879d496e259","24.04.2024 17:27:05"
"56072","info","YahooScraper","LoadConfiguration","JSON values from C:\Download\\GlobalConfig.json loaded","3f302d31-ff31-402d-bbaa-7d9fa9bed232","24.04.2024 17:29:50"
"56073","info","YahooScraper","Main","Application initialized","3f302d31-ff31-402d-bbaa-7d9fa9bed232","24.04.2024 17:29:50"
"56074","info","YahooScraper","GlobalExportTableAndUploadAsync","Exporting and uploading [main].[dbo].[YahooScraperLog]","3f302d31-ff31-402d-bbaa-7d9fa9bed232","24.04.2024 17:29:50"
"56075","info","YahooScraper","GlobalExportTableToCSV","Exporting [main].[dbo].[YahooScraperLog] to C:\Download\main.dbo.YahooScraperLog.csv","3f302d31-ff31-402d-bbaa-7d9fa9bed232","24.04.2024 17:29:50"
